display_name,claim,category,url,meta_description,features,vorteile,pdf_angebotsblatt
Sonder-Spanndorne,optimiert Prozesse in der Fertigung,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/sonder-spanndorne/,"Unsere Sonder-Spanndorne sind individuelle Lösungen, die Fertigungsprozesse optimieren, beschleunigen und optimal auf Ihre Anforderungen abgestimmt sind.",neuartige Fertigungsmöglichkeiten durch modernste Spannmitteltechnologien | optimal auf Ihre Anforderungen abgestimmte Sonderlösung | größter bisher realisierter Spann-Ø 620 mm,,
Sonder-Spannelemente,Profilspannungen,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/sonder-spannelemente/,"Unsere Spannelemente sind individuelle Lösungen, mit denen man fast jedes Werkstück-Profil spannen kann. Der einfache Spannkopfwechsel spart Rüstzeit.",zum Spannen von nahezu jedem Werkstück-Profil mit einem Spannkopf | mit HSW-Köpfen ist die Kontur selbst herstellbar,,
Sonder-Spannfutter,optimal auf Ihre Anforderungen abgestimmte Sonderlösung,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/sonder-spannfutter/,"Unsere Sonder-Spannfutter sind individuelle Lösungen, die Fertigungsprozesse optimieren, beschleunigen und optimal auf Ihre Anforderungen abgestimmt sind.",optimiert Prozesse in der Fertigung | neuartige Fertigungsmöglichkeiten durch modernste Spannmitteltechnologien,,
Stationäre Sonder-Spannmittel,optimal auf Ihre Anforderungen abgestimmte Sonderlösung,sonderloesungen,https://www.hainbuch.com/produkte/sonderloesungen/stationaere-sonder-spannmittel/,"Unsere Sonder-Spannmittel sind individuelle Lösungen, die Fertigungsprozesse optimieren, beschleunigen und optimal auf Ihre Anforderungen abgestimmt sind.",optimiert Prozesse in der Fertigung | neuartige Fertigungsmöglichkeiten durch modernste Spannmittetechnologien | schnelle Rüstbarkeit bei Werkstücktypwechsel,,
Maschinenspezifische Spanndorne,"Standard oder maschinenspezifisch, welcher Spanndorn passt?",spanndorne,https://www.hainbuch.com/produkte/spanndorne/maschinenspezifische-spanndorne/,"Unsere speziell konstruierten Spanndorne für bestimmte Maschinentypen, die den Anschluss und besondere Ausstattungsmerkmale berücksichtigt.",,,
Microspanndorn,Die Lösung zum Spannen kleinster Durchmesser,spanndorne,https://www.hainbuch.com/produkte/spanndorne/microspanndorn/,Der Microspanndorn ist optimal zum Schleifen und Verzahnen dank geringer Störkontur und geeignet zum automatischen Beladen dank großem Öffnungshub.,"[5,59 –15 mm] | optimal zum Schleifen und Verzahnen dank geringer Störkontur | geeignet zum automatischen Beladen dank großem Öffnungshub | schnelles Rüsten dank selbstausrichtender CENTREX Schnittstelle",,
Sonder-Spanndorne,optimiert Prozesse in der Fertigung,spanndorne,https://www.hainbuch.com/produkte/spanndorne/sonder-spanndorne/,"Unsere Sonder-Spanndorne sind individuelle Lösungen, die Fertigungsprozesse optimieren, beschleunigen und optimal auf Ihre Anforderungen abgestimmt sind.",neuartige Fertigungsmöglichkeiten durch modernste Spannmitteltechnologien | optimal auf Ihre Anforderungen abgestimmte Sonderlösung | größter bisher realisierter Spann-Ø 620 mm,,
Spanndorn MANDO G,Der Profi fürs Verzahnen,spanndorne,https://www.hainbuch.com/produkte/spanndorne/spanndorn-mando-g/,Der Spanndorn MANDO G ist ein Profi fürs Verzahnen. Der Segmentspanndorn hat drei Anschlagsstufen und integrierte Spülkanäle.,Segmentspanndorn mit schlanker Störkontur | steife Radialspannung mit Niederzugeffekt | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | drei Anschlagstufen | integrierte Spülkanäle,"steifer und schlanker Dorn mit optimierter Werkzeugauslaufkontur | ideal einsetzbar für das Abwälzfräsen, aber auch fürs Verzahnungsstoßen oder Verzahnungsschleifen | Schnellwechsel-Schnittstelle verfügbar | Für die Verzahnungsbranche gemacht | Spannlösungen für die Verzahnungsbranche sind individuell und haben ganz besondere Anforderungen. Deshalb ist es gerade bei einer hohen Variantenvielfalt und kleineren Losgrößen schwer, das geeignete Spannmittel zu finden. Man behilft sich mit mehr oder weniger guten Vorrichtungen. | Steifer und schlanker Standard-Segmentspanndorn | Damit ist nun Schluss. Mit dem MANDO G211 setzen Sie auf einen Standard-Segmentspanndorn, bei dem Sie von | lagerhaltigen Segmentspannbüchsen | profitieren. Der steife und schlanke Spanndorn mit optimierter Werkzeugauslaufkontur ist | ideal einsetzbar für das Abwälzfräsen | , kann aber auch für das | Verzahnungsstoßen oder Verzahnungsschleifen | eingesetzt werden. Drei unterschiedlich nahe am Werkstück platzierte Anschlagstufen machen den Einsatz von individuellen Werkstückanschlägen möglich und ein Spülanschluss sorgt für Prozesssicherheit. | Radialspannung mit Niederzugeffekt | Egal ob Sie sich den Maschinenanschluss selbst gestalten oder von uns eine Komplettlösung bis hin zum Schnellwechselsystem möchten, Sie profitieren in jedem Fall von einer Radialspannung mit Niederzugeffekt – was die | Spannung enorm versteift | . So haben Sie Genauigkeiten und Schwingungen voll im Griff.",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MANDO-G.pdf
Spanndorn MANDO T211,Effizient und preiswert,spanndorne > spanndorn-mando,https://www.hainbuch.com/produkte/spanndorne/spanndorn-mando/t211/,Bei der T211 Variante wird das Werkstück durch Axialzug gegen den Anschlag stabilisiert. Der MANDO T211 ist sehr effizient und preiswert.,enorme Spannkraft auch bei kleinsten Spann-Ø | Spannbereich Ø 20 – 200 mm | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum selbst Abdrehen verfügbar,Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | günstigere Segmentspannbüchsen und Anschläge gegenüber MANDO T212,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MANDO-T211.pdf
Spanndorn MANDO T212,Effizient und preiswert,spanndorne > spanndorn-mando,https://www.hainbuch.com/produkte/spanndorne/spanndorn-mando/t212/,Bei der T212 Variante wird das Werkstück durch Axialzug gegen den Werkstückanschlag stabilisiert. Dieser Dorn ist ideal für kurze Sacklochbohrungen.,enorme Spannkraft auch bei kleinsten Spann-Ø | Spannbereich Ø 8 – 190 mm | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum selbst Abdrehen verfügbar,"Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MANDO-T212.pdf
Spanndorn MANDO T812,Effizient und preiswert,spanndorne > spanndorn-mando,https://www.hainbuch.com/produkte/spanndorne/spanndorn-mando/t812/,Die Variante T812 ist radial gespannt. Dieser Dorn ist ideal für kurze Sacklochbohrungen. Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag.,enorme Spannkraft auch bei kleinsten Spann-Ø | Spannbereich Ø 8 – 100 mm | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum selbst Abdrehen verfügbar,"Radialspannung, keinen Axzug gegen Werkstückanschlag – ideal beim Abgreifen von der Hauptspindel | Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MANDO-T812.pdf
Spanndorn MAXXOS T211,Der kantige und bärenstarke Spanndorn,spanndorne > spanndorn-maxxos,https://www.hainbuch.com/produkte/spanndorne/spanndorn-maxxos/maxxos-t211/,Der Innenspanndorn Maxxos ist für Spanndurchmesser von 18mm bis 100mm geeignet. Er reduziert den Werkzeugverschleiß und ist schmutzunempfindlich.,"Innenspanndorn für Spanndurchmesser 18 bis 100 mm ab Lager | hohe übertragbare Drehmomente und Haltekräfte | reduzierter Werkzeugverschleiß durch hohe Steifigkeit | Rundlaufgenauigkeit ≤ 0,01 mm / 0,007 mm möglich | Rundlaufgenauigkeit ≤ 0,002 mm auf Anfrage möglich | schmutzunempfindlich durch sechseckige Pyramidenform | prozesssichere Fertigung","sechseckige Pyramidenform, ideal für eine anspruchsvolle und prozesssichere Fertigung | Realisierung maximaler Übertragungskräfte | höchste Zerspanleistung bei weniger Vibrationen und damit weniger Werkzeugverschleiß | bis zu 155 % mehr übertragbare Drehmomente und bis zu 57 % höhere Biegesteifigkeit im Vergleich zum runden Spanndorn",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MAXXOS-T211.pdf
Spanndorn MAXXOS T212,Der kantige und bärenstarke Spanndorn,spanndorne > spanndorn-maxxos,https://www.hainbuch.com/produkte/spanndorne/spanndorn-maxxos/maxxos-t212/,Der Innenspanndorn Maxxos ist für Spanndurchmesser von 18mm bis 100mm geeignet. Er reduziert den Werkzeugverschleiß und ist schmutzunempfindlich.,"Innenspanndorn für Spanndurchmesser 8 bis 100 mm ab Lager | hohe übertragbare Drehmomente und Haltekräfte | reduzierter Werkzeugverschleiß durch hohe Steifigkeit | Rundlaufgenauigkeit ≤ 0,01 mm / 0,007 mm möglich | Rundlaufgenauigkeit ≤ 0,002 mm auf Anfrage möglich | schmutzunempfindlich durch sechseckige Pyramidenform | prozesssichere Fertigung","Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen | sechseckige Pyramidenform, ideal für eine anspruchsvolle und prozesssichere Fertigung | Realisierung maximaler Übertragungskräfte | höchste Zerspanleistung bei weniger Vibrationen und damit weniger Werkzeugverschleiß | bis zu 155 % mehr übertragbare Drehmomente und bis zu 57 % höhere Biegesteifigkeit im Vergleich zum runden Spanndorn",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/02_Spanndorne/Angebotsblatt-Spanndorne-MAXXOS-T212.pdf
Segmentspannbüchsen,Sechseckige Spanngeometrie,spannelemente,https://www.hainbuch.com/produkte/spannelemente/segmentspannbuechsen/,"Mit einer möglichen Rundlaufgenauigkeit von ≤ 0,007 mm, sind unsere Segmentspannbüchsenl in puncto Präzision, Stabilität und Flexibilität unschlagbar.","Rundlaufgenauigkeit ≤ 0,007 mm | einzigartige Steifigkeit durch Pyramidenform | schmutzunempfindlich durch großflächige Anlage der Spannsegmente | aktive Verdrehsicherung | längere Wartungsintervalle | Runde Spanngeometrie | parallele Spannung auf der gesamten Spannlänge | Vibrationsdämpfung durch vulkanisierte Stahlsegmente | große Überbrückungsbereiche durch elastische Vulkanisierung zwischen | den Segmenten",,
Backen,für Backenmodul und Backenfutter,spannelemente,https://www.hainbuch.com/produkte/spannelemente/spannbacken/,Erfahren Sie mehr über unsere Backen für Backenmodule und Backenfutter und erhalten Sie einen Überblick über die technischen Daten.,,,
Spannköpfe,Der Sechseckige,spannelemente,https://www.hainbuch.com/produkte/spannelemente/spannkoepfe/,"Unsere Spannköpfe haben eine mögliche Rundlaufgenauigkeit von ≤ 0,015 mm und ein deutlich verbessertes Verschleißverhalten.","25 % höhere Haltekraft als Spannkopf RD [SPANNTOP] | schmutzunempfindlich durch Spannkopfgeometrie | einzigartige Steifigkeit durch großflächige Anlage der Spannsegmente | Rundlaufgenauigkeit ≤ 0,005 mm möglich | längere Wartungsintervalle | deutlich verbessertes Verschleißverhalten | aktive Verdrehsicherung",bestmögliche Spannung von Profilen | parallele Spannung auf der gesamten Spannlänge | Spannbewegung übernimmt der Gummi | lange Lebensdauer und kraftvolle umfassende Spannung durch steife Stahlsegmente mit über 60 HRC | radial exakt fixiert | Weiteres Zubehör für alle Spannkopf Varianten | hainBOX Aufbewahrungssystem | Wechselvorrichtungen | Fett,
4-Backenfutter InoFlex VD (handbetätigt),Zentrisch ausgleichende Spannmöglichkeiten,spannfutter > backenfutter > 4-backenfutter-inoflex,https://www.hainbuch.com/produkte/spannfutter/backenfutter/4-backenfutter-inoflex/vd-handbetaetigt/,Bei diesem 4-Backenfutter ist durch handbetätigung kein Spannzylinder notwendig. Das Backenfutter InoFlex kann mit 4- oder 2 Backen spannen.,ideal für die Rohteilbearbeitung OP10 | 4-Seitenspannung [2x2] mit Ausgleich der gegenüberliegenden Backen | ideal zum Spannen von verformungsempfindlichen Werkstücken | für Innen- und Außenspannung | hohe Wiederhol- und Rundlaufgenauigkeiten,Handbetätigung – kein Spannzylinder notwendig | feinfühliges Spannen möglich | 4-Backen- oder 2-Backenspannung möglich | Spannung gegen festen Anschlag | Bohrbereich für Frontanschlag | stationär einsetzbar im Bearbeitungszentrum,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-InoFlex-VD.pdf
4-Backen Zentrischspanner InoFlex VF,Zentrisch ausgleichende Spannmöglichkeiten,spannfutter > backenfutter > 4-backenfutter-inoflex,https://www.hainbuch.com/produkte/spannfutter/backenfutter/4-backenfutter-inoflex/vf-zentrischspanner/,"Dank der 4-Backen-Spanntechnik, bei der die Backenpaare ausgleichend auf das Zentrum gehen, wird das Werkstück immer zentriert zur Mitte gespannt.",ideal für die Fräsrohteilbearbeitung OP10 | 4-Seitenspannung mit Ausgleich der gegenüberliegenden Backen und 2-Seitenspannung als Spannstock oder Zentrischspanner möglich | ideal zum Spannen von verformungsempfindlichen Werkstücken | für Innen- und Außenspannung | hohe Wiederhol- und Rundlaufgenauigkeiten,großer Hub und Ausgleichshub pro Backe | flache und kompakte Baugröße | einfache Handhabung | flexibel einsetzbar [4-Backen- und 2-Backen-Spannung],https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-InoFlex-VF.pdf
4-Backenfutter InoFlex VT-S (kraftbetätigt),Zentrisch ausgleichende Spannmöglichkeiten,spannfutter > backenfutter > 4-backenfutter-inoflex,https://www.hainbuch.com/produkte/spannfutter/backenfutter/4-backenfutter-inoflex/vt-s-kraftbetaetigt/,Dieses 4-Backenfutter hat eine große Durchgangsbohrung mit einem zusätzlichen Bohrbereich für einen Frontanschlag. Es ist feinfühliges Spannen möglich.,ideal für die Rohteilbearbeitung OP10 | 4-Seitenspannung [2x2] mit Ausgleich der gegenüberliegenden Backen | ideal zum Spannen von verformungsempfindlichen Werkstücken | für Innen- und Außenspannung | hohe Wiederhol- und Rundlaufgenauigkeiten,"große Durchgangsbohrung | feinfühliges Spannen möglich | 4-Backen- oder 2-Backenspannung möglich | Bohrbereich für Frontanschlag | Das InoFlex VT-S ersetzt mit verbesserter Technik das InoFlex VT. Dieses bietet eine höhere Wiederholgenauigkeit [≤ 0,006 mm] und ein einfacheres Ausdrehen der weichen Aufsatzbacken.",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-InoFlex-VT-S.pdf
Backenfutter B-Top,"Große Bohrung, viel dahinter",spannfutter > backenfutter,https://www.hainbuch.com/produkte/spannfutter/backenfutter/backenfutter-b-top/,Dieses Backenfutter verfügt über eine große Durchgangsbohrung mit von vorne wechselbaren Einsatzbüchsen und hat die bewährte Keilstangenmechanik.,Backenschnellwechsel mit Einzelentriegelung | große Durchgangsbohrung mit von vorne wechselbaren Einsatzbüchsen | bewährte Keilstangenmechanik,,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-B-Top.pdf
Exzenterfutter,Zentrische und exzentrische Bearbeitung,spannfutter,https://www.hainbuch.com/produkte/spannfutter/exzenterfutter/,Das Exzenterfutter ist stufenlos über die C-Achse exzentrisch verstellbar. In einer Spannung ist eine zentrische und exzentrische Bearbeitung möglich.,in nur einer Aufspannung | über C-Achse stufenlos exzentrisch verstellbar | zentrische und exzentrische Bearbeitung in einer Aufspannung | unterschiedliche Exzentermaße mit demselben Futter und Spannkopf möglich | geringere Fliehkraftverluste gegenüber Backenfuttern | Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | Standard-Spannköpfe verwendbar,,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Spannfutter-Exzenterfutter-Angebotsblatt.pdf
Handspannfutter TOROK CFK,Spannt sanft und kräftig,spannfutter > handspannfutter,https://www.hainbuch.com/produkte/spannfutter/handspannfutter/torok-cfk/,Der CFK Variante ist 33% leichter als die Standard-Ausführung und dadurch besonders rüstfreundlich. Zusätzlich wird das Maschinenspindellager entlastet.,"auch als CFK Leichtbau erhältlich | Handbetätigung – kein Spannzylinder notwendig | feinfühliges Spannen möglich | Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | Spanndorne, Backenmodule, Stirnmitnehmer und Morsekegelaufnahme adaptierbar",1/3 leichter als Standard-Ausführung | besonders rüstfreundlich | Entlastung der Maschinenspindellager,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-TOROK-CFK.pdf
Handspannfutter TOROK,Spannt sanft und kräftig,spannfutter > handspannfutter,https://www.hainbuch.com/produkte/spannfutter/handspannfutter/torok/,Das TOROK Handspannfutter kommt vor allem im Werkzeug-Musterbau zum Einsatz und ermöglicht feinfühliges und sicheres spannen beim Einsatz.,"auch als CFK Leichtbau erhältlich | Handbetätigung – kein Spannzylinder notwendig | feinfühliges Spannen möglich | Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | Spanndorne, Backenmodule, Stirnmitnehmer und Morsekegelaufnahme adaptierbar",gut einsetzbar auf Maschinen ohne Spannzylinder | sicher und feinfühlig spannen beim Einsatz auf Schleifmaschinen | umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM],https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-TOROK.pdf
Kraftspannfutter SPANNTOP mini AXFIX,Auch klein ganz groß,spannfutter > kraftspannfutter > kraftspannfutter-spanntop-mini,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-spanntop-mini/axfix/,SPANNTOP mini - Axial | Das Futter ist ideal bei einem engen Machinenbauraum. Das Sapnnfutter ist für Abgreiffunktion ohne Zugbewegung geeignet.,umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM] | stark reduzierte Störkontur | bessere Werkstückzugänglichkeit | ideal bei engem Maschinenbauraum | geringere Masse | geringere Fliehkraftverluste gegenüber Backenfuttern,Werkstückspannung ohne Axialbewegung des Spannkopfs | Spannen von Werkstücken an einem kurzen Bund oder Absatz | geeignet für Abgreiffunktionen ohne Zugbewegung | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-SPANNTOP-mini-Axfix.pdf
Kraftspannfutter SPANNTOP mini AXZUG,Auch klein ganz groß,spannfutter > kraftspannfutter > kraftspannfutter-spanntop-mini,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-spanntop-mini/axzug/,Das Spannfutter SPANNTOP mini Axzug stabilisiert das Werkstück durch Axialzug gegen den Werkstückanschlag. Die Anschlagscheibe ist demontierbar.,umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM] | stark reduzierte Störkontur | bessere Werkstückzugänglichkeit | ideal bei engem Maschinenbauraum | geringere Masse | geringere Fliehkraftverluste gegenüber Backenfuttern,Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-SPANNTOP-mini-Axzug.pdf
Kraftspannfutter SPANNTOP nova KOMBI AXFIX,"Das Original, das Spanngeschichte",spannfutter > kraftspannfutter > kraftspannfutter-spanntop-nova,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-spanntop-nova/kombi-axfix/,"Klassische Vorteile aller HAINBUCH Kraftspannfutter wie z. B. hohe Haltekraft, umschließende Spannung mit hoher Genauigkeit, besondere Rüstfreundlichkeit.","geschrieben hat. | ideal für Kunden mit bereits vorhandenen RD Spannköpfen | klassische Vorteile aller HAINBUCH Kraftspannfutter wie z. B. hohe Haltekraft, umschließende Spannung mit hoher Genauigkeit und besondere Rüstfreundlichkeit | geringere Fliehkraftverluste gegenüber Backenfuttern",Werkstückspannung ohne Axialbewegung des Spannkopfs | Spannen von Werkstücken an einem kurzen Bund oder Absatz | geeignet für Abgreiffunktionen ohne Zugbewegung | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-SPANNTOP-nova-Kombi-Axfix.pdf
Kraftspannfutter SPANNTOP nova KOMBI AXZUG,"Das Original, das Spanngeschichte",spannfutter > kraftspannfutter > kraftspannfutter-spanntop-nova,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-spanntop-nova/kombi-axzug/,Das Spannfutter SPANNTOP nova Kombi Axzug. Werkstückspannung mit Niederzugeffekt. Es ist für Innen- und Frontanschlag vorbereitet.,"geschrieben hat. | ideal für Kunden mit bereits vorhandenen RD Spannköpfen | klassische Vorteile aller HAINBUCH Kraftspannfutter wie z. B. hohe Haltekraft, umschließende Spannung mit hoher Genauigkeit und besondere Rüstfreundlichkeit | geringere Fliehkraftverluste gegenüber Backenfuttern",Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-SPANNTOP-nova-Kombi-Axzug.pdf
Kraftspannfutter SPANNTOP nova modular,"Das Original, das Spanngeschichte",spannfutter > kraftspannfutter > kraftspannfutter-spanntop-nova,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-spanntop-nova/modular/,Das Spannfutter SPANNTOP nova Modular ist ein vollwertiges Stangenfutter. Mit diesem Futter erreicht man höhere Drehzahlen und Schnittwerte bei der Stangenbearbeitung.,"geschrieben hat. | ideal für Kunden mit bereits vorhandenen RD Spannköpfen | klassische Vorteile aller HAINBUCH Kraftspannfutter wie z. B. hohe Haltekraft, umschließende Spannung mit hoher Genauigkeit und besondere Rüstfreundlichkeit | geringere Fliehkraftverluste gegenüber Backenfuttern",vollwertiges Stangenfutter | durch Zugspannung deutlich steifere Spannung als bei herkömmlichen Druckspannzangen | höhere Drehzahlen und Schnittwerte bei der Stangenbearbeitung,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-SPANNTOP-nova-Modular.pdf
Kraftspannfutter TOPlus mini AXFIX,Auch klein ganz groß,spannfutter > kraftspannfutter > kraftspannfutter-toplus-mini,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-toplus-mini/axfix/,"TOPlus mini Axfix mit demontierbarer Anschlagsscheibe, bei Ausbau als Stangenfutter verwendbar. Futter geeignet für Abgreiffunktion ohne Zugbewegung.",umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM] | 25 % höhere Haltekraft als SPANNTOP | stark reduzierte Störkontur | bessere Werkstückzugänglichkeit | ideal bei engem Maschinenbauraum | geringere Masse | geringere Fliehkraftverluste gegenüber Backenfuttern,Werkstückspannung ohne Axialbewegung des Spannkopfs | Spannen von Werkstücken an einem kurzen Bund oder Absatz | geeignet für Abgreiffunktionen ohne Zugbewegung | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-TOPlus-mini-Axfix.pdf
Kraftspannfutter TOPlus mini AXZUG,Auch klein ganz groß,spannfutter > kraftspannfutter > kraftspannfutter-toplus-mini,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-toplus-mini/axzug/,"Futter mit demontierbarer Anschlagsscheibe, bei Ausbau als Stangenfutter verwendbar. Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag.",umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM] | 25 % höhere Haltekraft als SPANNTOP | stark reduzierte Störkontur | bessere Werkstückzugänglichkeit | ideal bei engem Maschinenbauraum | geringere Masse | geringere Fliehkraftverluste gegenüber Backenfuttern,Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | vorbereitet für Innen- und Frontanschlag | bei Ausbau der Anschlagscheibe als vollwertiges Stangenfutter verwendbar,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Angebotsblatt-Spannfutter-TOPlus-mini-Axzug.pdf
Kraftspannfutter TOPlus premium,"Rundlaufgenauigkeit ≤ 5 μm mit premium Spannköpfen, ansonsten ≤ 10 μm [vorausgesetzt Spannung gegen den Werkstückanschlag]",spannfutter > kraftspannfutter,https://www.hainbuch.com/produkte/spannfutter/kraftspannfutter/kraftspannfutter-toplus-premium/,"Das TOPlus premium Spannfutter ist perfekt geeignet für hochpräzises Spannen von filigranen und dünnwandigen, als auch von massiven und wuchtigen Teilen.",kann sanft und kräftig spannen | umrüstbar auf Innen- oder Backenspannung [HAINBUCH SYSTEM] | kostengünstiger als Hydrodehn- und Membranspannmittel,,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/01_Spannfutter/Spannfutter-TOPlus-premium-Axzug-Angebotsblatt.pdf
